date,open,high,low,close,volume
11/03/2022,"24.06","24.22","23.31","23.48","153,435"
11/02/2022,"24.06","25.12","23.77","24.13","295,958"
11/01/2022,"24.72","24.72","23.40","23.88","169,702"
10/31/2022,"24.56","24.77","23.59","24.41","177,193"
10/28/2022,"23.58","24.52","22.71","24.30","282,544"
10/27/2022,"28.30","28.37","23.35","23.40","514,221"
10/26/2022,"31.66","32.67","31.56","32.07","143,249"
10/25/2022,"30.55","31.74","30.45","31.47","61,938"
10/24/2022,"31.00","31.13","30.40","30.76","89,276"
10/21/2022,"30.74","31.03","29.97","30.69","102,991"
10/20/2022,"31.57","31.83","30.68","30.76","96,969"
10/19/2022,"32.17","32.66","31.25","31.47","86,514"
10/18/2022,"32.17","32.92","31.98","32.50","144,585"
10/17/2022,"31.46","32.00","31.46","31.69","110,720"
10/14/2022,"31.70","31.82","30.88","30.94","108,614"
10/13/2022,"31.22","32.07","31.00","31.49","161,199"
10/12/2022,"32.42","32.72","31.74","31.79","112,953"
10/11/2022,"32.87","33.23","31.92","32.39","100,911"
10/10/2022,"32.06","33.20","32.06","32.78","63,788"
10/07/2022,"33.00","33.00","31.65","32.23","95,919"
10/06/2022,"33.48","33.79","33.15","33.31","92,490"
10/05/2022,"33.85","34.32","33.48","33.59","104,551"
10/04/2022,"33.74","34.63","33.74","34.16","242,913"
10/03/2022,"32.62","33.91","32.00","33.57","107,336"
09/30/2022,"32.08","33.24","32.04","32.16","124,326"
09/29/2022,"32.41","32.41","31.36","32.12","89,576"
09/28/2022,"31.87","33.15","31.68","32.84","122,578"
09/27/2022,"31.42","32.27","31.01","31.58","154,044"
09/26/2022,"30.77","31.76","30.77","31.21","133,773"
09/23/2022,"31.29","31.29","30.45","30.99","112,459"
09/22/2022,"32.57","32.57","31.38","31.77","118,509"
09/21/2022,"33.08","33.99","32.53","32.65","93,352"
09/20/2022,"33.42","33.79","32.50","33.07","116,816"
09/19/2022,"33.78","34.32","33.40","33.78","65,039"
09/16/2022,"34.12","34.16","32.79","34.09","211,898"
09/15/2022,"34.33","34.94","34.19","34.41","81,777"
09/14/2022,"35.01","35.01","34.09","34.56","98,565"
09/13/2022,"35.68","35.95","34.80","35.02","80,315"
09/12/2022,"35.64","36.59","35.32","36.28","103,192"
09/09/2022,"35.31","35.63","34.78","35.45","54,560"
09/08/2022,"35.40","35.40","34.64","34.90","63,537"
09/07/2022,"35.35","35.67","34.81","35.61","63,658"
09/06/2022,"35.95","35.95","34.84","35.27","74,491"
09/02/2022,"36.21","36.32","35.41","35.68","70,692"
09/01/2022,"35.20","36.18","35.07","35.66","92,505"
08/31/2022,"36.65","36.87","35.04","35.41","204,807"
08/30/2022,"37.13","37.13","36.38","36.43","113,552"
08/29/2022,"37.10","37.30","36.66","37.01","64,626"
08/26/2022,"38.03","38.36","37.43","37.52","87,895"
08/25/2022,"38.91","38.91","38.11","38.38","46,951"
08/24/2022,"38.51","39.10","38.13","38.56","70,144"
08/23/2022,"38.22","39.15","38.22","38.77","71,610"
08/22/2022,"39.64","39.66","37.93","38.27","105,002"
08/19/2022,"40.15","40.68","39.69","40.18","118,481"
08/18/2022,"40.37","40.84","40.05","40.41","69,637"
08/17/2022,"40.40","40.91","40.03","40.63","127,201"
08/16/2022,"40.58","41.39","40.41","40.63","124,722"
08/15/2022,"40.50","41.51","40.20","41.03","175,105"
08/12/2022,"38.40","40.06","38.31","39.85","86,967"
08/11/2022,"38.72","39.13","37.86","38.04","85,721"
08/10/2022,"37.01","38.93","36.96","38.52","108,353"
08/09/2022,"36.20","36.41","35.64","36.38","72,583"
08/08/2022,"37.13","37.65","35.74","35.82","164,875"
08/05/2022,"34.54","36.81","34.32","36.68","184,548"
08/04/2022,"36.16","36.37","34.22","34.24","143,977"
08/03/2022,"38.65","38.70","35.81","36.00","189,742"
08/02/2022,"37.84","40.38","37.50","38.66","233,698"
08/01/2022,"35.94","37.96","35.54","37.70","224,562"
07/29/2022,"36.78","36.84","34.70","36.28","250,138"
07/28/2022,"39.01","39.69","35.24","36.84","358,544"
07/27/2022,"44.06","44.52","43.22","44.05","112,927"
07/26/2022,"42.91","43.67","42.81","43.67","94,107"
07/25/2022,"42.53","43.17","42.15","42.91","205,742"
07/22/2022,"42.58","42.89","41.99","42.54","50,176"
07/21/2022,"41.17","42.52","40.89","42.52","60,550"
07/20/2022,"40.98","41.49","40.67","41.25","64,857"
07/19/2022,"40.13","41.21","40.13","41.11","73,122"
07/18/2022,"40.85","41.01","39.44","39.60","47,827"
07/15/2022,"39.98","40.87","39.68","40.39","65,794"
07/14/2022,"38.55","39.69","38.45","39.32","60,351"
07/13/2022,"39.00","39.34","38.68","39.08","70,223"
07/12/2022,"39.25","39.76","39.09","39.17","66,147"
07/11/2022,"39.79","40.10","39.25","39.37","47,080"
07/08/2022,"39.90","40.18","39.58","39.98","49,999"
07/07/2022,"39.74","40.35","39.74","39.94","56,287"
07/06/2022,"40.08","40.22","39.20","39.54","72,082"
07/05/2022,"39.76","40.01","38.95","39.93","76,570"
07/01/2022,"39.42","40.31","39.34","40.23","72,500"
